year,year_index,state,total_installed_capacity_mw,wasteland_area_km2,wasteland_mapping_year,wasteland_atlas_publication_year,total_geographical_area_km2,wasteland_percentage_of_tga,nise_ground_mounted_pv_potential_gwp,nise_potential_year,scenario,usable_wasteland_fraction,solar_potential_fraction,available_solar_land_km2,land_requirement_km2_per_gw,land_limited_capacity_gw,solar_potential_limited_capacity_gw,carrying_capacity_gw,carrying_capacity_mw,limiting_constraint,installed_fraction_of_carrying_capacity,installed_percent_of_carrying_capacity,constraint_note
2014,0,Karnataka,36.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.001114,0.111,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2014,0,Karnataka,36.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.000557,0.056,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2014,0,Karnataka,36.86,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.000371,0.037,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2015,1,Karnataka,83.95,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.002538,0.254,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2015,1,Karnataka,83.95,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.001269,0.127,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2015,1,Karnataka,83.95,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.000846,0.085,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2016,2,Karnataka,158.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.004790,0.479,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2016,2,Karnataka,158.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Medium,0.10,0.40,1322.97,20.00,66.15,89.31,66.15,66148.40,Land availability,0.002395,0.239,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2016,2,Karnataka,158.41,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,High,0.15,0.60,1984.45,20.00,99.22,133.97,99.22,99222.60,Land availability,0.001597,0.160,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
2017,3,Karnataka,1047.18,13229.68,2015-16,2019,191791.00,6.90,223.28,2025,Conservative,0.05,0.25,661.48,20.00,33.07,55.82,33.07,33074.20,Land availability,0.031662,3.166,Static 2015-16 wasteland area used as land-availability reference; NISE/MNRE 2025 ground-mounted PV potential used as upper PV-potential reference; policy not used as numerical constraint.
