region,geography_level,fiscal_year_end_year,fiscal_year_label,period_start_date,period_end_date,data_type,series,record_type,capacity_gw,module_type,value_basis
Gujarat,State,2014,FY2013-14,,2014-03-31,Historical,Actual,Opening stock,0.92675,Unspecified,Observed cumulative stock as of 2014-03-31; installation-age distribution unresolved
Gujarat,State,2015,FY2014-15,2014-04-01,2015-03-31,Historical,Actual,Annual addition,0.08494,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2016,FY2015-16,2015-04-01,2016-03-31,Historical,Actual,Annual addition,0.12613,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2017,FY2016-17,2016-04-01,2017-03-31,Historical,Actual,Annual addition,0.14037,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2018,FY2017-18,2017-04-01,2018-03-31,Historical,Actual,Annual addition,0.35674,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2019,FY2018-19,2018-04-01,2019-03-31,Historical,Actual,Annual addition,0.85935,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2020,FY2019-20,2019-04-01,2020-03-31,Historical,Actual,Annual addition,0.45196,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2021,FY2020-21,2020-04-01,2021-03-31,Historical,Actual,Annual addition,1.55554,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2022,FY2021-22,2021-04-01,2022-03-31,Historical,Actual,Annual addition,2.67825,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2023,FY2022-23,2022-04-01,2023-03-31,Historical,Actual,Annual addition,2.07454,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2024,FY2023-24,2023-04-01,2024-03-31,Historical,Actual,Annual addition,4.29031,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2025,FY2024-25,2024-04-01,2025-03-31,Historical,Actual,Annual addition,4.95178,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2026,FY2025-26,2025-04-01,2026-03-31,Historical,Actual,Annual addition,10.80626,Unspecified,Difference of consecutive historical cumulative capacities
Gujarat,State,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,Conservative,Annual addition,4.5910051841,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,Medium,Annual addition,8.0109388273,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2027,FY2026-27,2026-04-01,2027-03-31,Forecast,High,Annual addition,9.3793076373,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,Conservative,Annual addition,5.9472065278,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,Medium,Annual addition,10.3510046256,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2028,FY2027-28,2027-04-01,2028-03-31,Forecast,High,Annual addition,12.7055701895,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,Conservative,Annual addition,4.7177557876,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,Medium,Annual addition,10.4404779504,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2029,FY2028-29,2028-04-01,2029-03-31,Forecast,High,Annual addition,14.3219635973,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,Conservative,Annual addition,3.4288120816,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
Gujarat,State,2030,FY2029-30,2029-04-01,2030-03-31,Forecast,Medium,Annual addition,9.6068466884,Unspecified,Difference of consecutive unrounded cumulative forecast capacities supplied by user; FY2026-27 uses reconstructed FY2025-26 historical cumulative capacity
