region,fiscal_year_end_year,data_type,series,record_type,capacity_gw
Gujarat,2014,Historical,Actual,Opening stock,0.92675
Gujarat,2015,Historical,Actual,Annual addition,0.08494
Gujarat,2016,Historical,Actual,Annual addition,0.12613
Gujarat,2017,Historical,Actual,Annual addition,0.14037
Gujarat,2018,Historical,Actual,Annual addition,0.35674
Gujarat,2019,Historical,Actual,Annual addition,0.85935
Gujarat,2020,Historical,Actual,Annual addition,0.45196
Gujarat,2021,Historical,Actual,Annual addition,1.55554
Gujarat,2022,Historical,Actual,Annual addition,2.67825
Gujarat,2023,Historical,Actual,Annual addition,2.07454
Gujarat,2024,Historical,Actual,Annual addition,4.29031
Gujarat,2025,Historical,Actual,Annual addition,4.95178
Gujarat,2026,Historical,Actual,Annual addition,10.80626
Gujarat,2027,Forecast,Conservative,Annual addition,4.591005184132957
Gujarat,2027,Forecast,High,Annual addition,9.379307637297284
Gujarat,2027,Forecast,Medium,Annual addition,8.0109388272767
Gujarat,2028,Forecast,Conservative,Annual addition,5.947206527779635
Gujarat,2028,Forecast,High,Annual addition,12.705570189477712
Gujarat,2028,Forecast,Medium,Annual addition,10.351004625628695
Gujarat,2029,Forecast,Conservative,Annual addition,4.717755787604759
Gujarat,2029,Forecast,High,Annual addition,14.321963597284771
Gujarat,2029,Forecast,Medium,Annual addition,10.440477950345276
Gujarat,2030,Forecast,Conservative,Annual addition,3.428812081543221
Gujarat,2030,Forecast,High,Annual addition,14.90984902242036
Gujarat,2030,Forecast,Medium,Annual addition,9.60684668846661
Gujarat,2031,Forecast,Conservative,Annual addition,2.33667151139057
Gujarat,2031,Forecast,High,Annual addition,14.290438085850852
Gujarat,2031,Forecast,Medium,Annual addition,8.121138039046556
Gujarat,2032,Forecast,Conservative,Annual addition,1.5233777200237526
Gujarat,2032,Forecast,High,Annual addition,12.651825701527912
Gujarat,2032,Forecast,Medium,Annual addition,6.38738761040905
Gujarat,2033,Forecast,Conservative,Annual addition,0.9646620633379044
Gujarat,2033,Forecast,High,Annual addition,10.437874717227544
Gujarat,2033,Forecast,Medium,Annual addition,4.74461865926969
Gujarat,2034,Forecast,Conservative,Annual addition,0.5996454691119908
Gujarat,2034,Forecast,High,Annual addition,8.121414548271787
Gujarat,2034,Forecast,Medium,Annual addition,3.3767761946575234
Gujarat,2035,Forecast,Conservative,Annual addition,0.3684626873113927
Gujarat,2035,Forecast,High,Annual addition,6.035738811899037
Gujarat,2035,Forecast,Medium,Annual addition,2.330777347466864
Gujarat,2036,Forecast,Conservative,Annual addition,0.2248022915713221
Gujarat,2036,Forecast,High,Annual addition,4.334487111792782
Gujarat,2036,Forecast,Medium,Annual addition,1.5749764314954433
Gujarat,2037,Forecast,Conservative,Annual addition,0.1365585946990961
Gujarat,2037,Forecast,High,Annual addition,3.0366829541721074
Gujarat,2037,Forecast,Medium,Annual addition,1.0490402251082855
Gujarat,2038,Forecast,Conservative,Annual addition,0.0827349337143132
Gujarat,2038,Forecast,High,Annual addition,2.0907649615841137
Gujarat,2038,Forecast,Medium,Annual addition,0.6920442171048791
Gujarat,2039,Forecast,Conservative,Annual addition,0.0500452274010427
Gujarat,2039,Forecast,High,Annual addition,1.4223110987974792
Gujarat,2039,Forecast,Medium,Annual addition,0.4536447776189192
Gujarat,2040,Forecast,Conservative,Annual addition,0.0302423260540933
Gujarat,2040,Forecast,High,Annual addition,0.9596846998786076
Gujarat,2040,Forecast,Medium,Annual addition,0.2961331536731819
Gujarat,2041,Forecast,Conservative,Annual addition,0.0182647244296347
Gujarat,2041,Forecast,High,Annual addition,0.6439622154174742
Gujarat,2041,Forecast,Medium,Annual addition,0.1927858368727157
Gujarat,2042,Forecast,Conservative,Annual addition,0.011026997586903
Gujarat,2042,Forecast,High,Annual addition,0.4305056475900244
Gujarat,2042,Forecast,Medium,Annual addition,0.1252831579918734
Gujarat,2043,Forecast,Conservative,Annual addition,0.006655927582102
Gujarat,2043,Forecast,High,Annual addition,0.2870900172966912
Gujarat,2043,Forecast,Medium,Annual addition,0.0813222473422428
Gujarat,2044,Forecast,Conservative,Annual addition,0.0040170186833421
Gujarat,2044,Forecast,High,Annual addition,0.1911337276109463
Gujarat,2044,Forecast,Medium,Annual addition,0.0527473755626601
Gujarat,2045,Forecast,Conservative,Annual addition,0.0024241823774673
Gujarat,2045,Forecast,High,Annual addition,0.1271092295657183
Gujarat,2045,Forecast,Medium,Annual addition,0.0341964783954864
Gujarat,2046,Forecast,Conservative,Annual addition,0.0014628719573721
Gujarat,2046,Forecast,High,Annual addition,0.0844691094370375
Gujarat,2046,Forecast,Medium,Annual addition,0.0221628259385084
Gujarat,2047,Forecast,Conservative,Annual addition,0.0008827445018155
Gujarat,2047,Forecast,High,Annual addition,0.0561056732784663
Gujarat,2047,Forecast,Medium,Annual addition,0.0143608530172087
Gujarat,2048,Forecast,Conservative,Annual addition,0.0005326676160493
Gujarat,2048,Forecast,High,Annual addition,0.0372541654196254
Gujarat,2048,Forecast,Medium,Annual addition,0.0093041755122413
Gujarat,2049,Forecast,Conservative,Annual addition,0.0003214201370269
Gujarat,2049,Forecast,High,Annual addition,0.0247314398154117
Gujarat,2049,Forecast,Medium,Annual addition,0.0060275154592517
Gujarat,2050,Forecast,Conservative,Annual addition,0.0001939488294766
Gujarat,2050,Forecast,High,Annual addition,0.0164157939226754
Gujarat,2050,Forecast,Medium,Annual addition,0.0039045830091453
India,2014,Historical,Actual,Opening stock,2.82194
India,2015,Historical,Actual,Annual addition,1.17161
India,2016,Historical,Actual,Annual addition,3.13036
India,2017,Historical,Actual,Annual addition,5.67245
India,2018,Historical,Actual,Annual addition,9.08572
India,2019,Historical,Actual,Annual addition,7.08991
India,2020,Historical,Actual,Annual addition,5.52415
India,2021,Historical,Actual,Annual addition,6.47596
India,2022,Historical,Actual,Annual addition,13.02874
India,2023,Historical,Actual,Annual addition,12.77952
India,2024,Historical,Actual,Annual addition,15.03324
India,2025,Historical,Actual,Annual addition,23.83289
India,2026,Historical,Actual,Annual addition,44.61421
India,2027,Forecast,Conservative,Annual addition,29.38647254378424
India,2027,Forecast,High,Annual addition,34.23025604739382
India,2027,Forecast,Medium,Annual addition,32.53101927327941
India,2028,Forecast,Conservative,Annual addition,43.000944290199726
India,2028,Forecast,High,Annual addition,50.057617578689104
India,2028,Forecast,Medium,Annual addition,47.48162880005847
India,2029,Forecast,Conservative,Annual addition,49.03230968656391
India,2029,Forecast,High,Annual addition,61.43271357997679
India,2029,Forecast,Medium,Annual addition,56.74920064391762
India,2030,Forecast,Conservative,Annual addition,54.09364332885269
India,2030,Forecast,High,Annual addition,74.16108113294234
India,2030,Forecast,Medium,Annual addition,66.27154420990246
India,2031,Forecast,Conservative,Annual addition,57.54610828635896
India,2031,Forecast,High,Annual addition,87.76710569603682
India,2031,Forecast,Medium,Annual addition,75.32880608835148
India,2032,Forecast,Conservative,Annual addition,58.89829460884079
India,2032,Forecast,High,Annual addition,101.46206381955528
India,2032,Forecast,Medium,Annual addition,83.0390723749386
India,2033,Forecast,Conservative,Annual addition,57.94551879177749
India,2033,Forecast,High,Annual addition,114.1626552143681
India,2033,Forecast,Medium,Annual addition,88.50166447570774
India,2034,Forecast,Conservative,Annual addition,54.83271856441706
India,2034,Forecast,High,Annual addition,124.60745289479564
India,2034,Forecast,Medium,Annual addition,90.99575994536268
India,2035,Forecast,Conservative,Annual addition,50.00963441185752
India,2035,Forecast,High,Annual addition,131.5756876097429
India,2035,Forecast,Medium,Annual addition,90.16958079960024
India,2036,Forecast,Conservative,Annual addition,44.10075501186179
India,2036,Forecast,High,Annual addition,134.16160219777316
India,2036,Forecast,Medium,Annual addition,86.14122439876121
India,2037,Forecast,Conservative,Annual addition,37.75017713944328
India,2037,Forecast,High,Annual addition,132.0105722660794
India,2037,Forecast,Medium,Annual addition,79.46422583421406
India,2038,Forecast,Conservative,Annual addition,31.499921924060345
India,2038,Forecast,High,Annual addition,125.41828247866395
India,2038,Forecast,Medium,Annual addition,70.97420384957263
India,2039,Forecast,Conservative,Annual addition,25.729595898477783
India,2039,Forecast,High,Annual addition,115.2477815829127
India,2039,Forecast,Medium,Annual addition,61.585060612790926
India,2040,Forecast,Conservative,Annual addition,20.65248470122367
India,2040,Forecast,High,Annual addition,102.70233607018054
India,2040,Forecast,Medium,Annual addition,52.11182383293294
India,2041,Forecast,Conservative,Annual addition,16.34607938095087
India,2041,Forecast,High,Annual addition,89.05018424255013
India,2041,Forecast,Medium,Annual addition,43.16624834379581
India,2042,Forecast,Conservative,Annual addition,12.794442085318224
India,2042,Forecast,High,Annual addition,75.39775099769736
India,2042,Forecast,Medium,Annual addition,35.12965432370584
India,2043,Forecast,Conservative,Annual addition,9.92753011000866
India,2043,Forecast,High,Annual addition,62.56320950883287
India,2043,Forecast,Medium,Annual addition,28.18021477974071
India,2044,Forecast,Conservative,Annual addition,7.65101559387756
India,2044,Forecast,High,Annual addition,51.05002302494859
India,2044,Forecast,Medium,Annual addition,22.34532300194337
India,2045,Forecast,Conservative,Annual addition,5.865808126191837
India,2045,Forecast,High,Annual addition,41.0885109179585
India,2045,Forecast,Medium,Annual addition,17.55647081503139
India,2046,Forecast,Conservative,Annual addition,4.479153033042621
India,2046,Forecast,High,Annual addition,32.70751350827027
India,2046,Forecast,Medium,Annual addition,13.694571236215552
India,2047,Forecast,Conservative,Annual addition,3.4098407797430355
India,2047,Forecast,High,Annual addition,25.80783438268054
India,2047,Forecast,Medium,Annual addition,10.622064153630618
India,2048,Forecast,Conservative,Annual addition,2.589760234636288
India,2048,Forecast,High,Annual addition,20.22256276419193
India,2048,Forecast,Medium,Annual addition,8.202897889330188
India,2049,Forecast,Conservative,Annual addition,1.9634309232197893
India,2049,Forecast,High,Annual addition,15.759886710027558
India,2049,Forecast,Medium,Annual addition,6.313294725711103
India,2050,Forecast,Conservative,Annual addition,1.4865799012090974
India,2050,Forecast,High,Annual addition,12.229921174848188
India,2050,Forecast,Medium,Annual addition,4.84633348940838
Karnataka,2014,Historical,Actual,Opening stock,0.03686
Karnataka,2015,Historical,Actual,Annual addition,0.04709
Karnataka,2016,Historical,Actual,Annual addition,0.07446
Karnataka,2017,Historical,Actual,Annual addition,0.88877
Karnataka,2018,Historical,Actual,Annual addition,3.80769
Karnataka,2019,Historical,Actual,Annual addition,1.28899
Karnataka,2020,Historical,Actual,Annual addition,0.95582
Karnataka,2021,Historical,Actual,Annual addition,0.31666
Karnataka,2022,Historical,Actual,Annual addition,0.17447
Karnataka,2023,Historical,Actual,Annual addition,0.6506
Karnataka,2024,Historical,Actual,Annual addition,0.30327
Karnataka,2025,Historical,Actual,Annual addition,1.13498
Karnataka,2026,Historical,Actual,Annual addition,1.42198
Karnataka,2027,Forecast,Conservative,Annual addition,0.5030443635444151
Karnataka,2027,Forecast,High,Annual addition,0.856374918099668
Karnataka,2027,Forecast,Medium,Annual addition,0.7463353210602026
Karnataka,2028,Forecast,Conservative,Annual addition,0.7301634868403148
Karnataka,2028,Forecast,High,Annual addition,0.8578087971347745
Karnataka,2028,Forecast,Medium,Annual addition,0.8181785459621214
Karnataka,2029,Forecast,Conservative,Annual addition,0.7086948518407379
Karnataka,2029,Forecast,High,Annual addition,0.84937729307644
Karnataka,2029,Forecast,Medium,Annual addition,0.805851183422515
Karnataka,2030,Forecast,Conservative,Annual addition,0.687629897960127
Karnataka,2030,Forecast,High,Annual addition,0.841028648868873
Karnataka,2030,Forecast,Medium,Annual addition,0.793709535901753
Karnataka,2031,Forecast,Conservative,Annual addition,0.6669769145386866
Karnataka,2031,Forecast,High,Annual addition,0.8327620504960702
Karnataka,2031,Forecast,Medium,Annual addition,0.7817508061317167
Karnataka,2032,Forecast,Conservative,Annual addition,0.6467428223809524
Karnataka,2032,Forecast,High,Annual addition,0.8245766919332862
Karnataka,2032,Forecast,Medium,Annual addition,0.7699722389599071
Karnataka,2033,Forecast,Conservative,Annual addition,0.6269332434768717
Karnataka,2033,Forecast,High,Annual addition,0.8164717750689583
Karnataka,2033,Forecast,Medium,Annual addition,0.7583711207158021
Karnataka,2034,Forecast,Conservative,Annual addition,0.6075525710896166
Karnataka,2034,Forecast,High,Annual addition,0.8084465096268829
Karnataka,2034,Forecast,Medium,Annual addition,0.7469447785868653
Karnataka,2035,Forecast,Conservative,Annual addition,0.5886040397658725
Karnataka,2035,Forecast,High,Annual addition,0.8005001130895799
Karnataka,2035,Forecast,Medium,Annual addition,0.7356905800037765
Karnataka,2036,Forecast,Conservative,Annual addition,0.57008979486924
Karnataka,2036,Forecast,High,Annual addition,0.7926318106220727
Karnataka,2036,Forecast,Medium,Annual addition,0.724605932035093
Karnataka,2037,Forecast,Conservative,Annual addition,0.5520109612805371
Karnataka,2037,Forecast,High,Annual addition,0.7848408349967109
Karnataka,2037,Forecast,Medium,Annual addition,0.7136882807907661
Karnataka,2038,Forecast,Conservative,Annual addition,0.5343677109511411
Karnataka,2038,Forecast,High,Annual addition,0.7771264265184143
Karnataka,2038,Forecast,Medium,Annual addition,0.7029351108348649
Karnataka,2039,Forecast,Conservative,Annual addition,0.5171593290350387
Karnataka,2039,Forecast,High,Annual addition,0.7694878329509827
Karnataka,2039,Forecast,Medium,Annual addition,0.6923439446068862
Karnataka,2040,Forecast,Conservative,Annual addition,0.5003842783639101
Karnataka,2040,Forecast,High,Annual addition,0.7619243094438666
Karnataka,2040,Forecast,Medium,Annual addition,0.6819123418519908
Karnataka,2041,Forecast,Conservative,Annual addition,0.4840402620644113
Karnataka,2041,Forecast,High,Annual addition,0.7544351184596749
Karnataka,2041,Forecast,Medium,Annual addition,0.6716378990595935
Karnataka,2042,Forecast,Conservative,Annual addition,0.4681242841515001
Karnataka,2042,Forecast,High,Annual addition,0.747019529702662
Karnataka,2042,Forecast,Medium,Annual addition,0.6615182489105145
Karnataka,2043,Forecast,Conservative,Annual addition,0.4526327079615058
Karnataka,2043,Forecast,High,Annual addition,0.7396768200475101
Karnataka,2043,Forecast,Medium,Annual addition,0.6515510597323839
Karnataka,2044,Forecast,Conservative,Annual addition,0.4375613123182376
Karnataka,2044,Forecast,High,Annual addition,0.7324062734691061
