state,year,Conservative,Medium,High
Karnataka,2027,11.604684363544415,11.847975321060202,11.958014918099668
Karnataka,2028,12.33484785038473,12.666153867022324,12.815823715234442
Karnataka,2029,13.043542702225468,13.472005050444839,13.665201008310882
Karnataka,2030,13.731172600185594,14.265714586346592,14.506229657179755
Karnataka,2031,14.398149514724281,15.047465392478308,15.338991707675826
Karnataka,2032,15.044892337105233,15.817437631438215,16.16356839960911
Karnataka,2033,15.671825580582105,16.575808752154018,16.98004017467807
Karnataka,2034,16.27937815167172,17.322753530740883,17.788486684304953
Karnataka,2035,16.867982191437594,18.05844411074466,18.588986797394533
Karnataka,2036,17.438071986306834,18.783050042779752,19.381618608016606
Karnataka,2037,17.99008294758737,19.49673832357052,20.166459443013316
Karnataka,2038,18.524450658538512,20.199673434405383,20.94358586953173
Karnataka,2039,19.04160998757355,20.89201737901227,21.713073702482713
Karnataka,2040,19.54199426593746,21.57392972086426,22.47499801192658
Karnataka,2041,20.026034528001873,22.245567619923854,23.229433130386255
Karnataka,2042,20.494158812153373,22.90708586883437,23.976452660088917
Karnataka,2043,20.94679152011488,23.558636928566752,24.716129480136427
Karnataka,2044,21.384352832433116,24.200370963530034,25.448535753605533
Karnataka,2045,21.807258177784497,24.832435876153404,26.173742934578474
Karnataka,2046,22.21591775369462,25.45497734094791,26.89182177510457
Karnataka,2047,22.610736096231758,26.06813883805557,27.602842332093566
Karnataka,2048,22.99211169621863,26.67206168629366,28.306873974141343
Karnataka,2049,23.36043665950847,27.266885075701616,29.003985388288786
Karnataka,2050,23.716096408888014,27.852746099598253,29.694244586714174
Rajasthan,2027,52.97933372484576,54.01962642779817,54.57319633314863
Rajasthan,2028,68.10173600024194,71.08146251992531,72.74991513368656
Rajasthan,2029,85.11063987795274,91.67958318058234,95.58371793632384
Rajasthan,2030,103.18168143299064,115.54000567596961,123.42287702577812
Rajasthan,2031,121.25515824926252,141.891248826602,156.15346751448828
Rajasthan,2032,138.2708049511288,169.50266648574294,193.0305941007789
Rajasthan,2033,153.4028279925572,196.88550063172806,232.63814861526137
Rajasthan,2034,166.19250504498768,222.599090886353,273.05074822289225
Rajasthan,2035,176.54589012681376,245.536813342772,312.1827532838467
Rajasthan,2036,184.6382146909222,265.07992638320405,348.2012913832152
Rajasthan,2037,190.79159170966201,281.08978612165345,379.8393996506499
Rajasthan,2038,195.37339748486175,293.78865226713236,406.508306277979
Rajasthan,2039,198.73195745812197,303.60585704482173,428.2188996947635
Rajasthan,2040,201.16567212728893,311.0456772702436,445.3973120729895
Rajasthan,2041,202.91454166547618,316.59918384979846,458.6862270872726
Rajasthan,2042,204.1637487742244,320.6980027323861,468.78786682097814
Rajasthan,2043,205.05222346106459,323.69798309104164,476.36494543416944
Rajasthan,2044,205.68220437353077,325.8802958361779,481.9917220384114
Rajasthan,2045,206.1279298682339,327.4607363389551,486.13917574087475
Rajasthan,2046,206.44280668596187,328.60160425136627,489.1794716258855
Rajasthan,2047,206.66500598788525,329.4232387406884,491.3991940189115
Rajasthan,2048,206.82168546774,330.0139721188547,493.01504762863846
Rajasthan,2049,206.9321052837498,330.4381803237479,494.1887922112524
Rajasthan,2050,207.009894002271,330.7425415580753,495.04006385165195
