material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Aluminium,Downside,2026,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2027,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2028,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2029,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2030,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2031,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2032,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2033,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2034,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2035,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2036,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2037,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2038,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2039,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2040,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2041,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2042,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2043,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2044,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2045,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2046,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2047,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2048,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2049,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2050,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2051,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
Aluminium,Downside,2052,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003
