region,material,case,quality_discount_shift_percentage_points,cumulative_pv_2026_to_2075_real_2026_usd,selected_year_snapshot_pv_real_2026_usd,baseline_cumulative_pv_real_2026_usd,baseline_snapshot_pv_real_2026_usd,cumulative_pv_change_percent,snapshot_pv_change_percent
India,Aluminium,Favourable,-0.1,55075454994.99313,3780843888.6493263,54291390192.34898,3727136263.258813,1.444178901785875,1.4409890488831842
India,Aluminium,Adverse,0.1,53507325389.704834,3673428637.8682995,54291390192.34898,3727136263.258813,-1.444178901785875,-1.4409890488831842
India,Copper,Favourable,-0.1,55331151386.01383,3798560549.953562,54291390192.34898,3727136263.258813,1.915149326589498,1.916331511644257
India,Copper,Adverse,0.1,52991688700.26793,3637855904.8903766,54291390192.34898,3727136263.258813,-2.393936658236862,-2.3954143895553273
India,Glass,Favourable,-0.1,54357573995.4595,3731656778.4254475,54291390192.34898,3727136263.258813,0.12190478614755819,0.12128655480607671
India,Glass,Adverse,0.1,54225206389.23847,3722615748.0921783,54291390192.34898,3727136263.258813,-0.12190478614754413,-0.12128655480607671
India,Polymers,Favourable,-0.1,54593944720.85419,3747801475.4491425,54291390192.34898,3727136263.258813,0.5572790223887852,0.55445282197064
India,Polymers,Adverse,0.1,53988835663.84378,3706471051.068483,54291390192.34898,3727136263.258813,-0.5572790223887852,-0.5544528219706528
India,Silicon,Favourable,-0.1,54395919189.902466,3734295955.2755694,54291390192.34898,3727136263.258813,0.1925332860019724,0.19209633109835578
India,Silicon,Adverse,0.1,54186861194.79552,3719976571.242057,54291390192.34898,3727136263.258813,-0.19253328600194428,-0.19209633109834298
India,Silver,Favourable,-0.1,55986915032.71478,3843612882.6441016,54291390192.34898,3727136263.258813,3.1230087024088413,3.125096888286227
India,Silver,Adverse,0.1,50900340511.61741,3494183024.4882355,54291390192.34898,3727136263.258813,-6.24601740481764,-6.250193776572454
