region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
Gujarat,Conservative,Early_Loss,Downside,2026,7104.201698563715,17701315.95271855,15371673.146078352,15371673.146078352,15371673.146078352,15371673.146078352
Gujarat,Conservative,Early_Loss,Downside,2027,11017.58869986796,27428227.852485105,23823187.50464187,23129308.256933853,22688750.004420824,22264661.219291463
Gujarat,Conservative,Early_Loss,Downside,2028,13088.556822440865,32555722.847974434,28282335.029068165,26658813.29914993,25652911.59099153,24702886.7403862
Gujarat,Conservative,Early_Loss,Downside,2029,14976.976150827923,37220957.47287622,32341527.800530646,29597079.417393956,27937827.708049364,26400320.47897963
Gujarat,Conservative,Early_Loss,Downside,2030,18857.25203431022,46824488.091232106,40693999.672254294,36156091.636683226,33479054.23954364,31045257.509026356
Gujarat,Conservative,Early_Loss,Downside,2031,22674.243173120216,56255118.196676,48899341.429533675,42181001.46771623,38313913.533114806,34864554.62511067
Gujarat,Conservative,Early_Loss,Downside,2032,27156.531726794663,67319596.61366121,58528229.90008232,49016471.11288047,43674666.28932965,38999830.86766495
Gujarat,Conservative,Early_Loss,Downside,2033,32313.430797527453,80037138.75457141,69598142.20673618,56589658.633564755,49462100.2780686,43342225.09489201
Gujarat,Conservative,Early_Loss,Downside,2034,38061.04628486144,94196287.06670532,81925930.20251179,64673085.83162176,55450694.331874825,47681637.27782171
Gujarat,Conservative,Early_Loss,Downside,2035,44271.23130877526,109476904.27354261,95233755.3887986,72988743.61389527,61388527.84852426,51800852.98897248
Gujarat,Conservative,Early_Loss,Downside,2036,50806.82341912533,125638559.83820027,109292749.50208563,81324069.84683397,67096267.43524056,55558891.844842225
Gujarat,Conservative,Early_Loss,Downside,2037,57537.59781948474,142282875.41134542,123771608.65895663,89415243.53408585,72366696.1598035,58802999.67117372
Gujarat,Conservative,Early_Loss,Downside,2038,64344.42125487685,159115250.19771418,138414060.17560065,97080836.94298573,77074127.90765479,61457498.04503344
Gujarat,Conservative,Early_Loss,Downside,2039,71118.63953305254,175866996.73928648,152986373.33207333,104176275.92117184,81131940.13579041,63483905.94421347
Gujarat,Conservative,Early_Loss,Downside,2040,77760.40580956107,192291206.9851949,167273763.27420062,110587663.34686258,84484617.20675746,64871649.36758557
Gujarat,Conservative,Early_Loss,Downside,2041,84177.34595070477,208159451.91069335,181077520.0182582,116226769.62868729,87101383.20869209,65630826.37732735
Gujarat,Conservative,Early_Loss,Downside,2042,90283.8764499076,223260094.8144787,194213541.19144952,121027458.01937512,88971460.94655441,65786845.76213859
Gujarat,Conservative,Early_Loss,Downside,2043,96001.10097871906,237398035.50299484,206512109.49830723,124943222.51257198,90100549.32564208,65376445.18788414
Gujarat,Conservative,Early_Loss,Downside,2044,101257.11650317146,250395467.27572876,217818551.22079462,127945442.42588574,90508107.04555097,64444649.61168088
Gujarat,Conservative,Early_Loss,Downside,2045,105987.5661531928,262093244.0982033,227994425.51954865,130022035.06481066,90225136.18858898,63042358.53617434
Gujarat,Conservative,Early_Loss,Downside,2046,110136.30737274415,272352532.84896576,236918961.72046214,131176284.81162019,89292264.96563315,61224361.835498884
Gujarat,Conservative,Early_Loss,Downside,2047,113656.09513218554,281056502.813478,244490529.0022758,131425706.83179703,87758008.6123943,59047662.33850774
Gujarat,Conservative,Early_Loss,Downside,2048,116509.20520630307,288111866.9683063,250627977.15682873,130800861.78952076,85677141.68176265,56570034.006572336
Gujarat,Conservative,Early_Loss,Downside,2049,118667.94190248234,293450137.52579486,255271728.78503358,129344078.58275937,83109150.07354549,53848775.59334704
Gujarat,Conservative,Early_Loss,Downside,2050,120114.98974456528,297028495.60176617,258384535.8191921,127108070.11788484,80116753.07080942,50939637.88379236
Gujarat,Conservative,Early_Loss,Downside,2051,120843.58095974382,298830205.38847446,259951839.8112766,124154446.43368042,76764498.80420259,47895912.68062064
Gujarat,Conservative,Early_Loss,Downside,2052,120857.42039497981,298864428.4828348,259981610.4174021,120552101.9815206,73117419.18733959,44767661.57973233
Gujarat,Conservative,Early_Loss,Downside,2053,120170.58013040334,297165963.2792852,258504118.69616127,116375725.10732734,69239893.64740467,41601162.770442
Gujarat,Conservative,Early_Loss,Downside,2054,118806.9092900762,293793785.5098016,255570667.527099,111703997.56834263,65194451.126573384,38438393.828361675
Gujarat,Conservative,Early_Loss,Downside,2055,116799.35304747973,288829364.23446834,251252126.69404137,106617925.9831028,61040779.84601693,35316706.292148836
Gujarat,Conservative,Early_Loss,Downside,2056,114189.23316858934,282374882.71958184,245637385.23026782,101199350.3569784,56834951.48907547,32268675.163091652
Gujarat,Conservative,Early_Loss,Downside,2057,111025.19305167675,274550629.66050255,238831082.0481227,95529362.68415889,52628691.83239286,29322010.03324592
Gujarat,Conservative,Early_Loss,Downside,2058,107362.06241048187,265492191.69317904,230951163.71001184,89686889.9456267,48468835.39530511,26499596.977973558
Gujarat,Conservative,Early_Loss,Downside,2059,103259.61869492939,255347390.55126658,222126220.06707782,83747415.0533047,44396931.71682547,23819638.310376007
Gujarat,Conservative,Early_Loss,Downside,2060,98781.28005161109,244273050.9301347,212492672.63011187,77781859.04893461,40449000.11926694,21295876.40405753
Gujarat,Conservative,Early_Loss,Downside,2061,93992.76620503658,232431689.0231741,202191893.93344706,71855642.27538137,36655426.1471726,18937887.02168366
Gujarat,Conservative,Early_Loss,Downside,2062,88960.76384225751,219988212.1943512,191367336.5862524,66027936.218993776,33040989.577985086,16751427.259343823
Gujarat,Conservative,Early_Loss,Downside,2063,83751.63193669422,207106717.41513166,180161748.23876792,60351111.55075173,29625011.10913866,14738823.329536527
Gujarat,Conservative,Early_Loss,Downside,2064,78430.18003420632,193947470.12739128,168714543.50077057,54870381.83278598,26421602.62121538,12899383.932838377
Gujarat,Conservative,Early_Loss,Downside,2065,73058.54898114009,180664136.43179658,157159396.22739476,49623636.64555065,23440004.35037097,11229825.865416296
Gujarat,Conservative,Early_Loss,Downside,2066,67695.21908239205,167401330.39377517,145622105.9251583,44641452.7392451,20684991.39414241,9724699.717934504
Gujarat,Conservative,Early_Loss,Downside,2067,62394.16545692163,154292525.3493239,134218780.80077016,39947267.39300594,18157331.710816007,8376804.973164825
Gujarat,Conservative,Early_Loss,Downside,2068,57204.17465350065,141458363.98607168,123054367.70379049,35557694.60523359,15854278.113845052,7177585.4317911565
Gujarat,Conservative,Early_Loss,Downside,2069,52168.330658304745,129005387.30798054,112221546.4553881,31482962.119646274,13770077.646083927,6117497.6147111505
Gujarat,Conservative,Early_Loss,Downside,2070,47323.6725247715,117025187.9992315,101799993.36115994,27727445.647974662,11896483.062221766,5186346.534587566
Gujarat,Conservative,Early_Loss,Downside,2071,42701.02022782359,105593979.78473291,91856006.59863806,24290275.969450604,10223252.857405707,4373584.9344685115
Gujarat,Conservative,Early_Loss,Downside,2072,38324.96020638656,94772561.67867772,82442475.11717622,21165994.81527052,8738628.254235134,3668573.7003902057
Gujarat,Conservative,Early_Loss,Downside,2073,34213.977592300784,84606644.96916759,73599163.08126621,18345236.493007995,7429777.69623046,3060802.6216331925
Gujarat,Conservative,Early_Loss,Downside,2074,30380.718469827425,75127501.75131184,65353274.028274156,15815413.952930469,6283201.594286844,2540071.9616039023
Gujarat,Conservative,Early_Loss,Downside,2075,26832.362760551823,66352887.022314146,57720252.99724135,13561390.306604285,5285092.242305569,2096636.3906338282
Gujarat,Conservative,Early_Loss,Reference,2026,7104.201698563715,17701315.95271855,15371673.146078352,15371673.146078352,15371673.146078352,15371673.146078352
Gujarat,Conservative,Early_Loss,Reference,2027,11017.58869986796,28069120.053308044,24397539.71970764,23686931.766706448,23235752.114007276,22801438.990380973
Gujarat,Conservative,Early_Loss,Reference,2028,13088.556822440865,34096656.70155144,29663879.32389032,27961051.299736373,26906012.992190763,25909581.032308776
Gujarat,Conservative,Early_Loss,Reference,2029,14976.976150827923,39897682.31744906,34742412.88286164,31794229.375554584,30011802.51192021,28360157.874345332
Gujarat,Conservative,Early_Loss,Reference,2030,18857.25203431022,51372537.364822224,44775115.75710374,39782110.41911234,36836598.54246223,34158721.42996814
Gujarat,Conservative,Early_Loss,Reference,2031,22674.243173120216,63174230.1674424,55110742.92820776,47539010.96380946,43180709.13776736,39293198.04888944
Gujarat,Conservative,Early_Loss,Reference,2032,27156.531726794663,77385813.75311106,67568685.19608599,56587710.096535906,50420793.22381272,45023867.95391779
Gujarat,Conservative,Early_Loss,Reference,2033,32313.430797527453,94183588.57828246,82308434.56841698,66924289.45953968,58495067.76001064,51257556.38240642
Gujarat,Conservative,Early_Loss,Reference,2034,38061.04628486144,113475758.83432882,99255451.8132575,78353170.21738732,67179996.68315428,57767576.63303229
Gujarat,Conservative,Early_Loss,Reference,2035,44271.23130877526,135020326.48672897,118203342.32921566,90593019.38005257,76194928.39215697,64294786.379085496
Gujarat,Conservative,Early_Loss,Reference,2036,50806.82341912533,156814816.8235674,137344487.75446475,102197197.58270499,84317601.3332324,69818973.12858754
Gujarat,Conservative,Early_Loss,Reference,2037,57537.59781948474,179726058.4023864,157480894.09181193,113767548.54972121,92075817.20229712,74818038.35169627
Gujarat,Conservative,Early_Loss,Reference,2038,64344.42125487685,203409504.34565657,178311721.58868235,125064253.92487277,99290638.68023762,79172536.85817932
Gujarat,Conservative,Early_Loss,Reference,2039,71118.63953305254,227536737.39442253,199549734.05722502,135883658.80154958,105825484.4861369,82806045.21936084
Gujarat,Conservative,Early_Loss,Reference,2040,77760.40580956107,251791491.26787823,220917844.38918832,146052720.54875928,111578523.44582985,85675748.90250966
