region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Gujarat,Conservative,Early_Loss,Downside,3617408.215759253,8946812963.538555,7782528328.542372,3771578862.5215807,2484075324.4762745,1714666027.2837837
Gujarat,Conservative,Early_Loss,Reference,3617408.215759253,13692966646.314297,12081849220.678019,5597467716.347563,3581789600.084946,2405766038.1703367
Gujarat,Conservative,Early_Loss,Upside,3617408.215759253,21573211533.984623,19185903131.409973,8501765166.078429,5284463367.020649,3452025766.7189746
Gujarat,Conservative,Fixed_25,Downside,3792043.108687876,9377221462.748924,8157227507.809993,3874207677.6097054,2403880743.181474,1513745530.5722609
Gujarat,Conservative,Fixed_25,Reference,3792043.108687876,14113261285.71767,12443758295.331486,5877560362.73733,3633302003.8213882,2279184254.225477
Gujarat,Conservative,Fixed_25,Upside,3792043.108687876,21493511169.040913,19083674874.63899,8964943351.584526,5521540486.15038,3450785727.5760384
Gujarat,Conservative,Regular_Loss,Downside,3788923.7412122893,9369603782.518383,8150581713.041622,3582356110.1544514,2149945816.391518,1328178202.4873052
Gujarat,Conservative,Regular_Loss,Reference,3788923.7412122893,14694126741.03739,12974455752.055206,5596159325.995069,3315784454.018576,2021935594.0756552
Gujarat,Conservative,Regular_Loss,Upside,3788923.7412122893,23468300766.153923,20881357602.9879,8841972554.647602,5173719865.409163,3115026015.8852544
Gujarat,High,Early_Loss,Downside,9406500.996820988,23262874619.742195,20235963810.566227,9036880628.488451,5637676713.366793,3691662267.8507442
Gujarat,High,Early_Loss,Reference,9406500.996820988,36805173240.10188,32510108398.2908,13914896660.21329,8440699946.82242,5379121717.560926
Gujarat,High,Early_Loss,Upside,9406500.996820988,59892672067.43502,53337985841.43578,21902723863.586258,12920639436.86841,8012133509.229439
Gujarat,High,Fixed_25,Downside,10179404.586675677,25172322263.290203,21897356313.623264,9383906711.490025,5459002143.128503,3232720121.735162
