region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Gujarat,Conservative,Early_Loss,Downside,Aluminium,477158.001165545,1240477666.3728998,992382133.09832,482576786.432829,318829255.04937696,220906343.99275205
Gujarat,Conservative,Early_Loss,Downside,Copper,110113.38488435654,1229845417.6981363,1131457784.2822855,550206662.6478231,363511021.0582554,251864875.60752591
Gujarat,Conservative,Early_Loss,Downside,Glass,2569312.3139683194,1455045994.9013004,1018532196.4309102,494393984.0357562,326097926.06080574,225491757.97726724
Gujarat,Conservative,Early_Loss,Downside,Polymers,330340.1546530696,350129474.8631113,210077684.91786677,102156831.23233789,67493064.97059363,46763733.22520252
Gujarat,Conservative,Early_Loss,Downside,Silicon,128465.61569841598,308244099.9573894,231183074.96804205,112419985.88530049,74273734.99960275,51461837.311346225
Gujarat,Conservative,Early_Loss,Downside,Silver,2018.7453895465367,2820739578.278611,2679702599.364681,1305611553.6756918,864106545.9412379,599979726.644785
Gujarat,Conservative,Early_Loss,Reference,Aluminium,477158.001165545,1481694883.1193087,1185355906.4954472,574387815.5929039,378272551.7127581,261077022.79849157
Gujarat,Conservative,Early_Loss,Reference,Copper,110113.38488435654,1468995139.3959796,1351475528.244301,654884387.2475288,431284894.13595635,297665203.6452278
Gujarat,Conservative,Early_Loss,Reference,Glass,2569312.3139683194,1589607835.5290596,1112725484.8703418,539193298.0693215,355094622.8143141,245080026.33643824
Gujarat,Conservative,Early_Loss,Reference,Polymers,330340.1546530696,418213939.1923327,250928363.5153996,121592336.7826624,80076635.0797623,55267476.8171409
Gujarat,Conservative,Early_Loss,Reference,Silicon,128465.61569841598,368183739.2478172,276137804.4358629,133808073.52744648,88121509.61236523,60819906.889715314
Gujarat,Conservative,Early_Loss,Reference,Silver,2018.7453895465367,3686686751.07924,3502352413.5252776,1697134625.3202693,1117675946.2721186,771400164.206971
Gujarat,Conservative,Early_Loss,Upside,Aluminium,477158.001165545,1764292313.2337635,1411433850.5870109,681806288.4362992,447737867.3358194,307952387.1690806
Gujarat,Conservative,Early_Loss,Upside,Copper,110113.38488435654,1749170400.8303552,1609236768.763927,777356833.3151704,510485304.4193927,351109833.63124233
Gujarat,Conservative,Early_Loss,Upside,Glass,2569312.3139683194,1735256647.3875606,1214679653.1712923,587651622.4576116,386440899.76920706,266240167.09167254
Gujarat,Conservative,Early_Loss,Upside,Polymers,330340.1546530696,497978123.97846574,298786874.3870794,144331786.98003668,94781769.5249185,65190537.39856231
Gujarat,Conservative,Early_Loss,Upside,Silicon,128465.61569841598,438405874.5246288,328804405.89347166,158832035.6001765,104303990.87009041,71739884.70270415
Gujarat,Conservative,Early_Loss,Upside,Silver,2018.7453895465367,4784695785.49958,4545460996.224601,2192594757.297892,1437985709.430852,987468951.0830712
Gujarat,Conservative,Fixed_25,Downside,Aluminium,500193.39874123473,1294998327.597484,1035998662.0779874,492038988.34170073,305301921.6819244,192251392.142479
Gujarat,Conservative,Fixed_25,Downside,Copper,115429.24586336185,1283898777.2987041,1181186875.1148078,560994928.2253361,348087923.3132365,219194125.85510838
Gujarat,Conservative,Fixed_25,Downside,Glass,2693349.07014511,1522237762.7382982,1065566433.9168087,506081956.8083885,314015347.57007986,197738315.53981504
Gujarat,Conservative,Fixed_25,Downside,Polymers,346287.73759008554,365518136.0226222,219310881.6135733,104159887.7213086,64629459.52853041,40697757.48323308
Gujarat,Conservative,Fixed_25,Downside,Silicon,134667.4535072555,321791842.5760798,241343881.93205982,114624278.82881795,71122438.31690072,44786445.18077168
Gujarat,Conservative,Fixed_25,Downside,Silver,2116.202840828301,2938039239.8522315,2791137277.85962,1325627544.5049498,822529609.1593314,517954363.2353525
Gujarat,Conservative,Fixed_25,Reference,Aluminium,500193.39874123473,1553225551.441219,1242580441.1529753,590153294.1864645,366180199.275025,230586996.30124843
Gujarat,Conservative,Fixed_25,Reference,Copper,115429.24586336185,1539912711.7516446,1416719694.811513,672859291.1506534,417497880.2028846,262902205.93226817
Gujarat,Conservative,Fixed_25,Reference,Glass,2693349.07014511,1666348136.2080784,1166443695.3456547,553992777.0410832,343743206.20115423,216458218.0407669
Gujarat,Conservative,Fixed_25,Reference,Polymers,346287.73759008554,438403738.6664242,263042243.19985452,124929735.88941284,77516801.20065093,48813033.5477651
Gujarat,Conservative,Fixed_25,Reference,Silicon,134667.4535072555,385958268.4263294,289468701.31974703,137480763.40974316,85304502.8093261,53717019.96098481
Gujarat,Conservative,Fixed_25,Reference,Silver,2116.202840828301,3864666151.698521,3671432844.113595,1743716636.4276233,1081946863.1221411,681311763.4946578
Gujarat,Conservative,Fixed_25,Upside,Aluminium,500193.39874123473,1856248313.921692,1484998651.1373534,705287816.2302202,437619234.9302193,275572805.7005623
Gujarat,Conservative,Fixed_25,Upside,Copper,115429.24586336185,1840338238.1414216,1693111179.090108,804129138.5826218,498948614.04603535,314192472.58406615
Gujarat,Conservative,Fixed_25,Upside,Glass,2693349.07014511,1822460415.7358088,1275722291.015066,605893741.4233433,375946882.2075059,236737165.22268698
Gujarat,Conservative,Fixed_25,Upside,Polymers,346287.73759008554,523933050.1364815,314359830.0818889,149302598.96138537,92639753.058271,58336093.64484566
Gujarat,Conservative,Fixed_25,Upside,Silicon,134667.4535072555,461255858.3946414,345941893.79598105,164302238.6795062,101946777.37744668,64196811.3639093
Gujarat,Conservative,Fixed_25,Upside,Silver,2116.202840828301,5042512759.188795,4790387121.229356,2275154707.407692,1411695253.3299406,888957318.8352423
Gujarat,Conservative,Regular_Loss,Downside,Aluminium,499781.9353230152,1294272708.3480778,1035418166.6784623,455202803.4964334,273262348.7146934,168878063.5530879
Gujarat,Conservative,Regular_Loss,Downside,Copper,115334.29276684966,1283179377.3989177,1180525027.207004,518996400.94803214,311558220.6616247,192545183.17968222
Gujarat,Conservative,Regular_Loss,Downside,Glass,2691133.497893159,1521179817.96504,1064825872.5755278,468069093.93809587,280946260.65068334,173591863.186509
