region,capacity_scenario,lifetime_scenario,price_scenario,selected_year_snapshot_material_tonnes,selected_year_snapshot_gross_benchmark_value_real_2026_usd,selected_year_snapshot_quality_adjusted_value_real_2026_usd,selected_year_snapshot_present_value_3pct_real_2026_usd,selected_year_snapshot_present_value_5pct_real_2026_usd,selected_year_snapshot_present_value_7pct_real_2026_usd
Gujarat,Conservative,Early_Loss,Downside,231601.2089653557,572719182.0506521,488720936.9580574,217150246.70521232,133370415.77601537,84789056.61553384
Gujarat,Conservative,Early_Loss,Reference,231601.2089653557,706347438.8394768,607033662.9039319,269719383.16870236,165657588.79792595,105315339.9399248
Gujarat,Conservative,Early_Loss,Upside,231601.2089653557,875292576.1592128,756184511.1143911,335990625.1719327,206360388.97462776,131191783.4413761
Gujarat,Conservative,Fixed_25,Downside,57254.359630263316,141582464.80130982,120817177.11422433,57811147.050477594,36661413.034721926,23836813.56359306
Gujarat,Conservative,Fixed_25,Reference,57254.359630263316,174616835.84423903,150065380.9142104,71806443.50774154,45536645.06419771,29607383.590991586
Gujarat,Conservative,Fixed_25,Upside,57254.359630263316,216381927.19717455,186937106.84668532,89449603.36962058,56725199.5893173,36882048.31841987
Gujarat,Conservative,Regular_Loss,Downside,256260.4020086858,633698107.5618644,540756347.2333492,231882664.65425172,137187541.04663375,83671476.0688326
Gujarat,Conservative,Regular_Loss,Reference,256260.4020086858,781554118.1474848,671666141.9148121,288018320.1585955,170398788.44697127,103927208.2648694
Gujarat,Conservative,Regular_Loss,Upside,256260.4020086858,968487290.9075819,836697475.2705294,358785691.68508136,212266522.28782502,129462581.69160381
Gujarat,High,Early_Loss,Downside,641366.5067558917,1586014610.1347196,1353400707.6886342,564454303.9315587,334793798.99795854,206768002.99449292
Gujarat,High,Early_Loss,Reference,641366.5067558917,1956067463.6729236,1681040706.1310582,701101053.2721854,415842847.63452864,256823738.73794174
Gujarat,High,Early_Loss,Upside,641366.5067558917,2423922329.5443797,2094079821.6165476,873364674.166867,518017269.3136084,319926464.0301428
Gujarat,High,Fixed_25,Downside,453791.57613645965,1122166596.0527263,957583275.4234842,363792016.55145836,195707913.87571204,107544362.68656506
Gujarat,High,Fixed_25,Reference,453791.57613645965,1383993283.1217003,1189401229.327216,451861141.28233445,243086151.69776613,133579397.70830238
Gujarat,High,Fixed_25,Upside,453791.57613645965,1715018671.4925432,1481642357.0565562,562885416.5642017,302813491.2665374,166400444.85801974
Gujarat,High,Regular_Loss,Downside,698089.287464669,1726282550.5150688,1473096155.9926486,579342784.4767954,323089712.1780856,185741897.63547042
Gujarat,High,Regular_Loss,Reference,698089.287464669,2129063067.005423,1829712802.8682394,719593833.5011294,401305359.763771,230707497.77610457
Gujarat,High,Regular_Loss,Upside,698089.287464669,2638295255.6413517,2279281308.219027,896401212.0578189,499907856.55749893,287393347.48204476
Gujarat,Medium,Early_Loss,Downside,423896.52743800305,1048240091.461355,894499251.4860187,382854264.6912402,230409092.19658142,144049695.88095784
Gujarat,Medium,Early_Loss,Reference,423896.52743800305,1292818063.5428815,1111045416.7855375,475538101.7651396,286188015.7478583,178922178.1147464
Gujarat,Medium,Early_Loss,Upside,423896.52743800305,1602036039.3786004,1384034175.796307,592379910.6614726,356505673.40833074,222884146.38816094
Gujarat,Medium,Fixed_25,Downside,194423.79330566767,480784346.37991667,410269785.96428263,163692180.3779243,91706136.27119164,52810657.94624671
Gujarat,Medium,Fixed_25,Reference,194423.79330566767,592962139.8110099,509590549.77848065,203319842.32562205,113906950.98508978,65595403.65308315
Gujarat,Medium,Fixed_25,Upside,194423.79330566767,734787627.7045703,634799195.3351327,253276424.29804984,141894391.2124072,81712483.6297716
Gujarat,Medium,Regular_Loss,Downside,466448.46366601536,1153465406.217049,984291624.4863018,399858180.3386433,227975971.89714214,134027855.15598455
Gujarat,Medium,Regular_Loss,Reference,466448.46366601536,1422594809.124608,1222575308.3069966,496658435.31049454,283165869.94651866,166474185.35596174
Gujarat,Medium,Regular_Loss,Upside,466448.46366601536,1762852962.7788186,1522967453.5511894,618689603.3071252,352740973.0548611,207377626.90845507
India,Conservative,Early_Loss,Downside,3605300.5866724355,8915431885.13598,7607844054.896772,3041559380.0008883,1761895839.8773818,1066862089.5205334
India,Conservative,Early_Loss,Reference,3605300.5866724355,10995602514.421558,9449600158.714361,3777879750.505155,2188426982.467819,1325134965.6635883
India,Conservative,Early_Loss,Upside,3605300.5866724355,13625545619.707386,11771408593.817554,4706121467.001422,2726133143.8036976,1650726471.044964
India,Conservative,Fixed_25,Downside,3978306.435489479,9837826053.927052,8394954660.834801,3210348773.6865172,1743434074.3413565,970729256.4200202
India,Conservative,Fixed_25,Reference,3978306.435489479,12133211973.202387,10427259591.94241,3987530772.5097933,2165495873.3019986,1205729674.4445112
India,Conservative,Fixed_25,Upside,3978306.435489479,15035250049.973818,12989283261.616531,4967284669.748383,2697567759.9814653,1501982773.1534376
India,Conservative,Regular_Loss,Downside,3879107.424427862,9592520009.415249,8185626592.782279,3080887219.2411556,1683499173.159927,953416682.8561229
India,Conservative,Regular_Loss,Reference,3879107.424427862,11830670515.358513,10167256031.036175,3826728327.4798,2091051543.5247564,1184225961.0775344
India,Conservative,Regular_Loss,Upside,3879107.424427862,14660346316.38598,12665395679.0872,4766972354.778385,2604832130.051908,1475195502.573149
India,High,Early_Loss,Downside,8441567.695274137,20874881298.161995,17813252753.98874,6615395450.260978,3662258854.8672795,2129541125.0968146
India,High,Early_Loss,Reference,8441567.695274137,25745460258.969906,22125600214.29027,8216893175.735922,4548842169.54109,2645074216.6239977
India,High,Early_Loss,Upside,8441567.695274137,31903294321.421936,27561957768.729843,10235820068.443848,5666512752.613731,3294980617.3692236
India,High,Fixed_25,Downside,10418725.79279001,25764131978.038624,21985418185.459827,7977714560.799506,4174185186.426079,2231692657.12175
India,High,Fixed_25,Reference,10418725.79279001,31775483006.260384,27307790443.07602,9909011309.371765,5184698939.085996,2771955252.337977
India,High,Fixed_25,Upside,10418725.79279001,39375586078.36,34017434992.03547,12343699090.358517,6458602334.790965,3453036883.1487503
India,High,Regular_Loss,Downside,9054634.441457007,22390914340.41105,19106935787.643105,6476645242.911829,3318485215.0505934,1768980262.7808397
India,High,Regular_Loss,Reference,9054634.441457007,27615217882.163918,23732466405.544273,8044553420.619061,4121845583.132005,2197226448.2967525
India,High,Regular_Loss,Upside,9054634.441457007,34220263105.91658,29563638070.02797,10021135675.41499,5134601221.716694,2737094677.1955824
India,Medium,Early_Loss,Downside,5717777.887405194,14139309071.188202,12065557770.334139,4633820617.082394,2619962220.8203597,1552914757.639628
India,Medium,Early_Loss,Reference,5717777.887405194,17438327652.364677,14986466047.25572,5755605888.169037,3254219623.7256637,1928854407.947037
India,Medium,Early_Loss,Upside,5717777.887405194,21609250484.18772,18668706850.72692,7169783639.166979,4053795737.544277,2402782442.9155245
India,Medium,Fixed_25,Downside,7014672.557850194,17346358197.49141,14802242873.60837,5490858328.966983,2914225476.0550327,1581257862.4230473
India,Medium,Fixed_25,Reference,7014672.557850194,21393653416.879246,18385665583.897945,6820120833.508395,3619720031.371321,1964058994.8874688
India,Medium,Fixed_25,Upside,7014672.557850194,26510616423.3904,22903104705.20448,8495854601.466805,4509101207.335634,2446636952.132005
India,Medium,Regular_Loss,Downside,6115807.403642895,15123583462.457775,12905472894.187183,4592494816.964852,2424558827.5464015,1329236914.0169904
India,Medium,Regular_Loss,Reference,6115807.403642895,18652255380.259537,16029713257.68714,5704275671.023173,3011511712.946862,1651027184.9722307
India,Medium,Regular_Loss,Upside,6115807.403642895,23113527090.56423,19968284501.85363,7105841361.283812,3751453422.6586714,2056691845.9386625
Karnataka,Conservative,Early_Loss,Downside,94560.29563923429,233835114.31095833,199539529.56588578,82935252.9130835,49315838.43894888,30599936.61680989
Karnataka,Conservative,Early_Loss,Reference,94560.29563923429,288394101.8229663,247845349.700871,103012755.44496202,61254535.63153329,38007767.22345415
Karnataka,Conservative,Early_Loss,Upside,94560.29563923429,357372593.7882434,308742045.2087658,128323443.7807821,76305045.19055071,47346443.25806647
Karnataka,Conservative,Fixed_25,Downside,132568.69992663694,327824875.0370691,279744218.64589274,124275844.35323834,76979215.55666715,49497927.55675699
Karnataka,Conservative,Fixed_25,Reference,132568.69992663694,404313786.1057811,347466508.75607634,154361344.69250193,95614842.03580445,61480706.06091166
Karnataka,Conservative,Fixed_25,Upside,132568.69992663694,501018105.1957338,432840562.4086782,192288607.87203556,119107830.41955777,76586786.69191961
Karnataka,Conservative,Regular_Loss,Downside,108927.12444380515,269362383.26768637,229856167.6605348,95343194.34699392,56601316.93272477,35062666.969912075
Karnataka,Conservative,Regular_Loss,Reference,108927.12444380515,332210681.0873338,285501235.66326654,118424491.60794643,70303729.88871352,43550864.20975877
Karnataka,Conservative,Regular_Loss,Upside,108927.12444380515,411669281.83995515,355650148.4280097,147521911.49026513,87577666.38689438,54251503.62094089
Karnataka,High,Early_Loss,Downside,119030.08760464741,294345675.98716,251175268.903906,100688976.3616873,58671781.79800324,35799284.216460906
Karnataka,High,Early_Loss,Reference,119030.08760464741,363023137.4869807,311981402.8485205,125064415.11452577,72875426.28237909,44465806.524516046
Karnataka,High,Early_Loss,Upside,119030.08760464741,449851503.3033071,388636609.47766256,155793293.48684192,90781239.9265819,55391251.297655955
Karnataka,High,Fixed_25,Downside,170697.65051825478,422112730.8424662,360203282.48933923,147269468.72256762,87428330.53549753,54413863.5674945
Karnataka,High,Fixed_25,Reference,170697.65051825478,520601117.74943805,447403623.2630005,182921414.39450642,108593546.36384946,67586723.66223131
Karnataka,High,Fixed_25,Upside,170697.65051825478,645119198.3578892,557332666.708273,227866012.6599164,135275459.64171863,84193079.74759896
Karnataka,High,Regular_Loss,Downside,136786.03919569694,338253797.6985541,288643576.3316867,113061762.90602961,65025200.43212718,39247055.53824746
Karnataka,High,Regular_Loss,Reference,136786.03919569694,417176010.8097259,358520280.5202342,140432485.86485904,80766921.59960414,48748236.63145218
Karnataka,High,Regular_Loss,Upside,136786.03919569694,516956734.22899204,446610294.64636576,174937366.9992054,100611710.44755816,60725893.368910484
Karnataka,Medium,Early_Loss,Downside,111495.5969606309,275713876.3601774,235276114.73499876,95222980.74232039,55791371.455294624,34198565.215504326
Karnataka,Medium,Early_Loss,Reference,111495.5969606309,340044120.2653686,292233278.5870581,118275175.91619384,69297707.57058418,42477575.11278508
Karnataka,Medium,Early_Loss,Upside,111495.5969606309,421376333.61265486,364036283.9888873,147335908.27451348,86324459.9482834,52914502.65925303
Karnataka,Medium,Fixed_25,Downside,158892.04176343416,392919020.58561563,335291287.43632877,140165518.46290413,84204654.51989768,52899286.36349912
Karnataka,Medium,Fixed_25,Reference,158892.04176343416,484595858.77362746,416460771.2923033,174097693.90065545,104589462.00449027,65705487.81091968
Karnataka,Medium,Fixed_25,Upside,158892.04176343416,600502152.7634491,518787019.5393621,216874265.12497175,130287554.09582472,81849615.95069897
Karnataka,Medium,Regular_Loss,Downside,128204.43154040063,317032616.08651805,270534813.6329124,107604462.88480124,62430682.224306636,37958197.793429874
Karnataka,Medium,Regular_Loss,Reference,128204.43154040063,391003450.59070504,336027631.4020761,133654047.35131472,77544305.64014216,47147363.86617127
Karnataka,Medium,Regular_Loss,Upside,128204.43154040063,484524185.6004762,418591102.43927115,166493436.24755174,96597283.53397056,58731679.104780175
Maharashtra,Conservative,Early_Loss,Downside,397347.2553064399,982587250.1521219,838475428.4254366,357734545.0638887,214841010.60468718,134057916.88905185
Maharashtra,Conservative,Early_Loss,Reference,397347.2553064399,1211846938.8369343,1041458984.2213327,444337237.9113784,266851112.25455478,166511524.62783882
Maharashtra,Conservative,Early_Loss,Upside,397347.2553064399,1501698131.3728437,1297350049.85009,553512856.9519043,332417607.4440813,207424140.60411182
Maharashtra,Conservative,Fixed_25,Downside,127012.86772490638,314086036.2442984,268020395.9105042,103286421.99243009,56228948.85696828,31334252.391699865
Maharashtra,Conservative,Fixed_25,Reference,127012.86772490638,387369367.44818544,332904507.17170364,128290667.18638845,69841216.54033545,38919850.911405206
Maharashtra,Conservative,Fixed_25,Upside,127012.86772490638,480020897.52878886,414700612.81140447,159812249.92168364,87001511.46897097,48482629.93076147
Maharashtra,Conservative,Regular_Loss,Downside,440900.085159634,1090287642.567793,930379870.1514376,372791540.78205067,210005275.83720404,121796387.3147416
Maharashtra,Conservative,Regular_Loss,Reference,440900.085159634,1344676253.3230128,1155612247.7285666,463039328.55643106,260844711.53227693,151281644.6545623
Maharashtra,Conservative,Regular_Loss,Upside,440900.085159634,1666297741.2433114,1439551273.6576583,576810133.7513366,324935407.5739703,188452211.9521986
Maharashtra,High,Early_Loss,Downside,1206709.9522666438,2984034236.789815,2546378842.938528,1031208758.1269916,601021842.1909809,365554618.1873134
Maharashtra,High,Early_Loss,Reference,1206709.9522666438,3680276489.114319,3162822705.716633,1280850445.1655295,746521097.7482046,454050444.92443585
Maharashtra,High,Early_Loss,Upside,1206709.9522666438,4560530005.499357,3939942193.687421,1595561048.550002,929944623.88924,565612641.7667773
Maharashtra,High,Fixed_25,Downside,1242494.7676686146,3072525356.0650854,2621891352.524514,964685393.7945087,504131167.12099946,267128730.29690456
Maharashtra,High,Fixed_25,Reference,1242494.7676686146,3789414575.3162208,3256615772.112278,1198222674.456976,626174501.2732245,331796981.3781949
Maharashtra,High,Fixed_25,Upside,1242494.7676686146,4695771887.009822,4056780630.157352,1492631270.1604176,780028337.888943,413320963.0458468
Maharashtra,High,Regular_Loss,Downside,1294759.2406287973,3201768490.579733,2732178955.550544,1033894181.2438259,559468589.8383931,311042576.339222
Maharashtra,High,Regular_Loss,Reference,1294759.2406287973,3948813037.796796,3393602511.5273957,1284185972.8824418,694908365.2588503,386341775.3483272
Maharashtra,High,Regular_Loss,Upside,1294759.2406287973,4893295489.685682,4227425615.6071434,1599716130.1378264,865650415.3966923,481267653.45643646
Maharashtra,Medium,Early_Loss,Downside,802586.0910473801,1984689335.7911785,1693603535.8297894,699115685.7367514,412053957.45353615,253056498.45392522
Maharashtra,Medium,Early_Loss,Reference,802586.0910473801,2447761962.867409,2103602035.6746824,868362133.5068684,511806645.0436263,314318052.6176491
Maharashtra,Medium,Early_Loss,Upside,802586.0910473801,3033220985.161169,2620466333.475218,1081722539.496232,637559794.9806952,391547384.4005248
Maharashtra,Medium,Fixed_25,Downside,574378.5308540222,1420362198.6592412,1212043818.8626237,448769966.7085963,235874521.50277638,125908853.94222032
Maharashtra,Medium,Fixed_25,Reference,574378.5308540222,1751764621.6337705,1505463227.2228425,557411103.3343638,292976551.53626215,156389683.8066947
Maharashtra,Medium,Fixed_25,Upside,574378.5308540222,2170754056.9745708,1875362181.781278,694369469.8053937,364962182.3798095,194815318.8522844
Maharashtra,Medium,Regular_Loss,Downside,873994.8842719703,2161273844.2637963,1844289158.2739549,712087984.5507127,390664584.4397832,220335125.4202671
Maharashtra,Medium,Regular_Loss,Reference,873994.8842719703,2665547605.827296,2290766608.3827486,884474850.335284,485239194.2432296,273675277.92602146
Maharashtra,Medium,Regular_Loss,Upside,873994.8842719703,3303096893.2412577,2853618067.1601768,1101794221.9122174,604464604.3467073,340918500.71803194
Rajasthan,Conservative,Early_Loss,Downside,906808.8449978475,2242418432.544326,1913532620.7882395,788579824.7510114,464673733.2272798,285433699.26626587
Rajasthan,Conservative,Early_Loss,Reference,906808.8449978475,2765625050.2432685,2376772976.2372217,979484330.035628,577164956.5330735,354533335.65017855
Rajasthan,Conservative,Early_Loss,Upside,906808.8449978475,3427110996.3888664,2960756578.915252,1220147949.8006284,718976931.8565645,441643739.83788854
Rajasthan,Conservative,Fixed_25,Downside,844188.4271645019,2087566414.9689403,1781392078.8068905,700737582.6456165,388414136.3319516,221101533.39331636
Rajasthan,Conservative,Fixed_25,Reference,844188.4271645019,2574642576.7352915,2212642997.0382066,870376669.7114538,482443943.0993454,274627222.8990661
Rajasthan,Conservative,Fixed_25,Upside,844188.4271645019,3190449076.140797,2756299139.9552913,1084232056.1311073,600982547.6687161,342104342.7693705
Rajasthan,Conservative,Regular_Loss,Downside,979168.0666742682,2421353224.972549,2066223821.206567,803792646.653042,446173980.94894356,255694331.63590965
Rajasthan,Conservative,Regular_Loss,Reference,979168.0666742682,2986309351.2272205,2566428650.2094836,998379970.2751769,554186664.5486286,317594469.52042425
Rajasthan,Conservative,Regular_Loss,Upside,979168.0666742682,3700578867.4460683,3197011488.4316654,1243686332.1835477,690352772.1890781,395628831.386479
Rajasthan,High,Early_Loss,Downside,2166607.2450368106,5357733384.665163,4571937804.40454,1764567492.5455499,1000033637.2177467,593736415.0235381
Rajasthan,High,Early_Loss,Reference,2166607.2450368106,6607812996.05275,5678742083.879311,2191745406.096771,1242128249.315271,737471967.2427682
Rajasthan,High,Early_Loss,Upside,2166607.2450368106,8188278660.139299,7074034059.166475,2730266918.753715,1547324638.40064,918672082.1087248
Rajasthan,High,Fixed_25,Downside,2906036.3751682444,7186243902.745606,6132268594.154311,2278424974.0393066,1205374274.0690153,649867276.5517578
Rajasthan,High,Fixed_25,Reference,2906036.3751682444,8862956112.985994,7616807844.963896,2830000830.8454647,1497179075.88043,807191350.8392864
Rajasthan,High,Fixed_25,Upside,2906036.3751682444,10982809962.852503,9488291125.310795,3525344516.2972307,1865042577.9179726,1005521825.7422559
Rajasthan,High,Regular_Loss,Downside,2289438.6513270186,5661479219.390845,4831134551.425864,1727622212.48572,910047847.3415465,495839662.47741795
Rajasthan,High,Regular_Loss,Reference,2289438.6513270186,6982429560.576458,6000686856.158714,2145856173.641696,1130358117.3093624,615875735.5479283
Rajasthan,High,Regular_Loss,Upside,2289438.6513270186,8652496522.06375,7475082081.886202,2673102499.496546,1408092092.014733,767199120.0037115
Rajasthan,Medium,Early_Loss,Downside,1451748.9762559794,3589983359.4934664,3063456028.8925524,1218638364.7566307,703403421.7669595,424444060.118396
Rajasthan,Medium,Early_Loss,Reference,1451748.9762559794,4427607160.589713,3805077281.809546,1513654223.4468708,873687872.4125574,527196223.9129497
Rajasthan,Medium,Early_Loss,Upside,1451748.9762559794,5486608239.396867,4740001551.698115,1885565741.9027648,1088356835.939457,656730661.2517432
