region,capacity_scenario,lifetime_scenario,price_scenario,year,material,annual_material_tonnes,cumulative_material_tonnes,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,discount_factor_3pct,present_value_3pct_real_2026_usd,discount_factor_5pct,present_value_5pct_real_2026_usd,discount_factor_7pct,present_value_7pct_real_2026_usd,cumulative_quality_adjusted_value_real_2026_usd,cumulative_present_value_3pct_real_2026_usd,cumulative_present_value_5pct_real_2026_usd,cumulative_present_value_7pct_real_2026_usd,source_range,raw_midpoint_weight_percent,normalized_weight_percent
Gujarat,Conservative,Early_Loss,Downside,2045,Aluminium,13980.400385485327,137937.971397645,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003,32686176.101264697,29417558.49113823,0.5702860268119245,16776422.550418615,0.39573395701665043,11641526.827466896,0.2765083330108392,8134200.059633491,285549203.63391864,195895197.29208806,155048396.805389,124404324.57214545,12-14%,13.0,13.147249190938512
Gujarat,Conservative,Early_Loss,Downside,2060,Aluminium,13029.84770606204,363652.9226153132,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003,30463783.93677305,27417405.54309575,0.3660448997426385,10036001.463225745,0.19035479962020585,5219034.738261912,0.1002193446977227,2747754.416840766,760498603.9861357,412300703.2758256,285893770.26065546,204769911.92882246,12-14%,13.0,13.147249190938512
Gujarat,Conservative,Early_Loss,Downside,2075,Aluminium,3539.350777608175,479391.57011384185,2338.0,0.0,2338.0,0.1,0.9,2104.2000000000003,8275002.118047914,7447501.906243123,0.2349502921834461,1749792.7489085936,0.0915639133209995,681922.4190012239,0.03632410257685519,270523.8231836998,1004035866.05254,486525578.2829838,320409428.91634554,221140919.15811366,12-14%,13.0,13.147249190938512
Gujarat,Conservative,Early_Loss,Downside,2045,Copper,3226.2462428043063,31831.83955330269,14286.0,0.0,14286.0,0.08,0.92,13143.12,46090153.82470232,42402941.51872614,0.5702860268119245,24181805.043852724,0.39573395701665043,16780283.83635111,0.2765083330108392,11724766.674099067,411595210.5969411,282366485.20909697,223489250.62192583,179318392.48652762,2-4%,3.0,3.033980582524272
Gujarat,Conservative,Early_Loss,Downside,2060,Copper,3006.8879321681625,83919.90521891841,14286.0,0.0,14286.0,0.08,0.92,13143.12,42956400.99895437,39519888.91903802,0.3660448997426385,14466053.777209481,0.19035479962020585,7522800.536196276,0.1002193446977227,3960657.3699927833,1096194908.208008,594296858.9456877,412091874.4695472,295158641.49392915,2-4%,3.0,3.033980582524272
Gujarat,Conservative,Early_Loss,Downside,2075,Copper,816.7732563711172,110628.82387242504,14286.0,0.0,14286.0,0.08,0.92,13143.12,11668422.74051778,10734948.921276359,0.2349502921834461,2522179.38562825,0.0915639133209995,982933.9325331056,0.03632410257685519,389937.38577374344,1447233431.1412842,701285786.4976255,461843299.48663104,318756074.37930584,2-4%,3.0,3.033980582524272
Gujarat,Conservative,Early_Loss,Downside,2045,Glass,75279.07899876716,742742.9229103962,45.0,0.0,45.0,0.3,0.7,31.499999999999996,3387558.554944522,2371290.988461165,0.5702860268119245,1352314.116224439,0.39573395701665043,938400.3661016612,0.2765083330108392,655681.718303022,23017554.415447146,15790722.950767113,12498143.455063596,10027985.628800299,68-72%,70.0,70.79288025889969
Gujarat,Conservative,Early_Loss,Downside,2060,Glass,70160.71841725713,1958131.1217747636,45.0,0.0,45.0,0.3,0.7,31.499999999999996,3157232.328776571,2210062.630143599,0.3660448997426385,808982.1538758656,0.19035479962020585,420696.0291090899,0.1002193446977227,221491.028533917,61302282.67967468,33234741.166867558,23045329.247173972,16506096.079016088,68-72%,70.0,70.79288025889969
Gujarat,Conservative,Early_Loss,Downside,2075,Glass,19058.042648659404,2581339.223689917,45.0,0.0,45.0,0.3,0.7,31.499999999999996,857611.9191896731,600328.3434327712,0.2349502921834461,141047.31969553375,0.0915639133209995,54968.41240221748,0.03632410257685519,21806.38832664553,80933337.89000206,39217860.98550075,25827567.968844064,17825730.471059367,68-72%,70.0,70.79288025889969
Gujarat,Conservative,Early_Loss,Downside,2045,Polymers,9678.73872841292,95495.51865990808,1600.0,0.0,1461.6275959738255,0.4,0.6,876.9765575842953,14146711.619668936,8488026.971801361,0.5702860268119245,4840603.17722105,0.39573395701665043,3359000.500815009,0.2765083330108392,2347010.188523836,82972155.26943502,57044839.567042276,45225222.226479776,36353109.84258572,8-10%,9.0,9.101941747572816
