region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
Gujarat,Conservative,Early_Loss,Downside,2045,105987.5661531928,262093244.0982033,223653161.68984586,127546272.9640271,88507150.67480743,61841962.91146296
Gujarat,Conservative,Early_Loss,Downside,2060,98781.28005161109,244273050.9301347,208446579.17118695,76300807.17441308,39678806.80964867,20890379.569018334
Gujarat,Conservative,Early_Loss,Downside,2075,26832.362760551823,66352887.022314146,56621196.097024575,13303166.566772122,5184458.291559273,2056714.1350525536
Gujarat,Conservative,Early_Loss,Reference,2045,105987.5661531928,323245488.37884504,277796565.8800576,158423499.81773508,109933534.26135181,76813065.3476305
Gujarat,Conservative,Early_Loss,Reference,2060,98781.28005161109,301267443.64351654,258908675.49416932,94772200.16376254,49284509.043625504,25947657.794580985
Gujarat,Conservative,Early_Loss,Reference,2075,26832.362760551823,81834506.81711523,70328421.52970499,16523683.18720475,6439545.492948623,2554616.7977133156
Gujarat,Conservative,Early_Loss,Upside,2045,105987.5661531928,400559782.19418633,346052407.29872453,197348852.42709145,136944688.47546184,95686374.27655828
Gujarat,Conservative,Early_Loss,Upside,2060,98781.28005161109,373324998.9451174,322523678.9426902,118058147.72320396,61393930.2779074,32323111.75313512
Gujarat,Conservative,Early_Loss,Upside,2075,26832.362760551823,101407795.01990913,87608424.87297639,20583625.02163729,8021770.221258507,3182297.4116827063
Gujarat,Conservative,Fixed_25,Downside,2045,31533.21446197411,77977472.02947925,66540853.50418275,37947318.965574704,26332475.26047549,18399100.479560032
Gujarat,Conservative,Fixed_25,Downside,2060,25707.613373363693,63571530.43130119,54247769.04625383,19857119.18179779,10326323.206642853,5436675.865128964
Gujarat,Conservative,Fixed_25,Downside,2075,13.531794925512157,33462.340529387,28554.56378774692,6708.903105101988,2614.56760358021,1037.218904063474
