region,capacity_scenario,lifetime_scenario,year,annual_waste_tonnes,cumulative_waste_tonnes
India,Conservative,Fixed_25,2014,0.0,0.0
India,Conservative,Fixed_25,2015,0.0,0.0
India,Conservative,Fixed_25,2016,0.0,0.0
India,Conservative,Fixed_25,2017,0.0,0.0
India,Conservative,Fixed_25,2018,0.0,0.0
India,Conservative,Fixed_25,2019,0.0,0.0
India,Conservative,Fixed_25,2020,0.0,0.0
India,Conservative,Fixed_25,2021,0.0,0.0
India,Conservative,Fixed_25,2022,0.0,0.0
India,Conservative,Fixed_25,2023,0.0,0.0
India,Conservative,Fixed_25,2024,0.0,0.0
India,Conservative,Fixed_25,2025,0.0,0.0
India,Conservative,Fixed_25,2026,0.0,0.0
India,Conservative,Fixed_25,2027,0.0,0.0
India,Conservative,Fixed_25,2028,0.0,0.0
India,Conservative,Fixed_25,2029,0.0,0.0
India,Conservative,Fixed_25,2030,0.0,0.0
India,Conservative,Fixed_25,2031,0.0,0.0
India,Conservative,Fixed_25,2032,0.0,0.0
India,Conservative,Fixed_25,2033,0.0,0.0
India,Conservative,Fixed_25,2034,0.0,0.0
India,Conservative,Fixed_25,2035,0.0,0.0
India,Conservative,Fixed_25,2036,0.0,0.0
India,Conservative,Fixed_25,2037,0.0,0.0
India,Conservative,Fixed_25,2038,0.0,0.0
India,Conservative,Fixed_25,2039,197535.80000000002,197535.80000000002
India,Conservative,Fixed_25,2040,82012.70000000001,279548.5
India,Conservative,Fixed_25,2041,219125.2,498673.7
India,Conservative,Fixed_25,2042,397071.50000000006,895745.2000000001
India,Conservative,Fixed_25,2043,636000.3999999999,1531745.6
India,Conservative,Fixed_25,2044,496293.7,2028039.3
India,Conservative,Fixed_25,2045,386690.5,2414729.8
India,Conservative,Fixed_25,2046,453317.2,2868047.0
India,Conservative,Fixed_25,2047,912011.8000000002,3780058.8000000003
India,Conservative,Fixed_25,2048,894566.4,4674625.2
India,Conservative,Fixed_25,2049,1052326.8,5726952.0
India,Conservative,Fixed_25,2050,1668302.3,7395254.3
India,Conservative,Fixed_25,2051,3122994.6999999997,10518249.0
India,Conservative,Fixed_25,2052,2057053.0780648966,12575302.078064896
India,Conservative,Fixed_25,2053,3010066.1003139806,15585368.178378876
India,Conservative,Fixed_25,2054,3432261.678059474,19017629.85643835
India,Conservative,Fixed_25,2055,3786555.0330196884,22804184.889458038
India,Conservative,Fixed_25,2056,4028227.580045127,26832412.469503164
India,Conservative,Fixed_25,2057,4122880.6226188554,30955293.09212202
India,Conservative,Fixed_25,2058,4056186.315424424,35011479.407546446
India,Conservative,Fixed_25,2059,3838290.299509194,38849769.70705564
India,Conservative,Fixed_25,2060,3500674.4088300266,42350444.11588567
India,Conservative,Fixed_25,2061,3087052.850830326,45437496.96671599
India,Conservative,Fixed_25,2062,2642512.3997610295,48080009.36647702
India,Conservative,Fixed_25,2063,2204994.534684224,50285003.901161246
India,Conservative,Fixed_25,2064,1801071.7128934448,52086075.61405469
India,Conservative,Fixed_25,2065,1445673.929085657,53531749.543140344
India,Conservative,Fixed_25,2066,1144225.5566665607,54675975.099806905
India,Conservative,Fixed_25,2067,895610.9459722757,55571586.04577918
India,Conservative,Fixed_25,2068,694927.1077006063,56266513.15347979
India,Conservative,Fixed_25,2069,535571.0915714292,56802084.24505122
India,Conservative,Fixed_25,2070,410606.5688334286,57212690.813884646
India,Conservative,Fixed_25,2071,313540.71231298347,57526231.52619763
India,Conservative,Fixed_25,2072,238688.8545820125,57764920.38077964
India,Conservative,Fixed_25,2073,181283.21642454015,57946203.59720418
India,Conservative,Fixed_25,2074,137440.16462538525,58083643.76182956
India,Conservative,Fixed_25,2075,104060.59308463681,58187704.354914196
India,Conservative,Fixed_25,2076,0.0,58187704.354914196
India,Conservative,Fixed_25,2077,0.0,58187704.354914196
India,Conservative,Fixed_25,2078,0.0,58187704.354914196
India,Conservative,Fixed_25,2079,0.0,58187704.354914196
India,Conservative,Fixed_25,2080,0.0,58187704.354914196
India,Conservative,Fixed_25,2081,0.0,58187704.354914196
India,Conservative,Fixed_25,2082,0.0,58187704.354914196
India,Conservative,Fixed_25,2083,0.0,58187704.354914196
India,Conservative,Fixed_25,2084,0.0,58187704.354914196
India,Conservative,Fixed_25,2085,0.0,58187704.354914196
India,Conservative,Fixed_25,2086,0.0,58187704.354914196
India,Conservative,Fixed_25,2087,0.0,58187704.354914196
India,Conservative,Fixed_25,2088,0.0,58187704.354914196
India,Conservative,Fixed_25,2089,0.0,58187704.354914196
India,Conservative,Fixed_25,2090,0.0,58187704.354914196
India,Conservative,Fixed_25,2091,0.0,58187704.354914196
India,Conservative,Fixed_25,2092,0.0,58187704.354914196
India,Conservative,Fixed_25,2093,0.0,58187704.354914196
India,Conservative,Fixed_25,2094,0.0,58187704.354914196
India,Conservative,Fixed_25,2095,0.0,58187704.354914196
India,Conservative,Fixed_25,2096,0.0,58187704.354914196
India,Conservative,Fixed_25,2097,0.0,58187704.354914196
India,Conservative,Fixed_25,2098,0.0,58187704.354914196
India,Conservative,Fixed_25,2099,0.0,58187704.354914196
India,Conservative,Fixed_25,2100,0.0,58187704.354914196
India,Conservative,Fixed_25,2101,0.0,58187704.354914196
India,Conservative,Fixed_25,2102,0.0,58187704.354914196
India,Conservative,Fixed_25,2103,0.0,58187704.354914196
India,Conservative,Fixed_25,2104,0.0,58187704.354914196
India,Conservative,Fixed_25,2105,0.0,58187704.354914196
India,Conservative,Fixed_25,2106,0.0,58187704.354914196
India,Conservative,Fixed_25,2107,0.0,58187704.354914196
India,Conservative,Fixed_25,2108,0.0,58187704.354914196
India,Conservative,Fixed_25,2109,0.0,58187704.354914196
India,Conservative,Fixed_25,2110,0.0,58187704.354914196
India,Conservative,Fixed_25,2111,0.0,58187704.354914196
India,Conservative,Fixed_25,2112,0.0,58187704.354914196
India,Conservative,Fixed_25,2113,0.0,58187704.354914196
India,Conservative,Fixed_25,2114,0.0,58187704.354914196
India,Conservative,Fixed_25,2115,0.0,58187704.354914196
India,Conservative,Fixed_25,2116,0.0,58187704.354914196
India,Conservative,Fixed_25,2117,0.0,58187704.354914196
India,Conservative,Fixed_25,2118,0.0,58187704.354914196
India,Conservative,Fixed_25,2119,0.0,58187704.354914196
India,Conservative,Fixed_25,2120,0.0,58187704.354914196
India,Conservative,Fixed_25,2121,0.0,58187704.354914196
India,Conservative,Fixed_25,2122,0.0,58187704.354914196
India,Conservative,Fixed_25,2123,0.0,58187704.354914196
India,Conservative,Fixed_25,2124,0.0,58187704.354914196
India,Conservative,Fixed_25,2125,0.0,58187704.354914196
India,Conservative,Fixed_25,2126,0.0,58187704.354914196
India,Conservative,Fixed_25,2127,0.0,58187704.354914196
India,Conservative,Fixed_25,2128,0.0,58187704.354914196
India,Conservative,Fixed_25,2129,0.0,58187704.354914196
India,Conservative,Fixed_25,2130,0.0,58187704.354914196
India,Conservative,Early_Loss,2014,0.0,0.0
India,Conservative,Early_Loss,2015,987.6790000000001,987.6790000000001
India,Conservative,Early_Loss,2016,1397.7425000000003,2385.4215000000004
India,Conservative,Early_Loss,2017,1905.2011335104419,4290.622633510442
India,Conservative,Early_Loss,2018,3903.680172591931,8194.302806102372
India,Conservative,Early_Loss,2019,6832.185566640759,15026.488372743132
India,Conservative,Early_Loss,2020,8863.051494000516,23889.539866743646
India,Conservative,Early_Loss,2021,10229.252438662501,34118.79230540615
India,Conservative,Early_Loss,2022,13309.300327437904,47428.092632844055
India,Conservative,Early_Loss,2023,19883.01846967623,67311.11110252028
India,Conservative,Early_Loss,2024,26948.110749783897,94259.22185230418
India,Conservative,Early_Loss,2025,34312.877948872716,128572.0998011769
India,Conservative,Early_Loss,2026,46300.11944788669,174872.21924906358
India,Conservative,Early_Loss,2027,66649.3568771226,241521.57612618618
India,Conservative,Early_Loss,2028,81658.42263502383,323179.99876121
India,Conservative,Early_Loss,2029,99792.31171578955,422972.31047699956
India,Conservative,Early_Loss,2030,127948.69731241532,550921.0077894148
India,Conservative,Early_Loss,2031,158762.79825601762,709683.8060454325
India,Conservative,Early_Loss,2032,194575.9072274937,904259.7132729262
India,Conservative,Early_Loss,2033,235617.8614054535,1139877.5746783796
India,Conservative,Early_Loss,2034,282089.5751738338,1421967.1498522134
India,Conservative,Early_Loss,2035,334174.4899465394,1756141.639798753
India,Conservative,Early_Loss,2036,392012.7822063936,2148154.4220051467
India,Conservative,Early_Loss,2037,455640.47062356863,2603794.8926287154
India,Conservative,Early_Loss,2038,524917.5024969891,3128712.3951257044
India,Conservative,Early_Loss,2039,599475.0344014864,3728187.4295271905
India,Conservative,Early_Loss,2040,678700.2684095483,4406887.697936739
India,Conservative,Early_Loss,2041,761758.74505488,5168646.442991619
