region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
India,Conservative,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,273749.3426375405,1709456.7758899676
India,Conservative,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,50839.16363268609,317470.5440938511
India,Conservative,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,35196.34405339806,219787.29975728155
India,Conservative,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,13687.467131877023,85472.83879449838
India,Conservative,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,11732.11468446602,73262.43325242717
India,Conservative,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,215.08876921521036,1343.1446096278316
India,Conservative,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,254.19581816343043,1587.3527204692555
India,Conservative,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,117.3211468446602,732.6243325242718
India,Conservative,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,117.3211468446602,732.6243325242718
India,Conservative,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,782.1409789644014,4884.162216828479
India,Conservative,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,786275.4232308127,6431871.958161757
India,Conservative,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,146022.57860000804,1194490.5065157549
India,Conservative,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,101092.55441539019,826954.9660493687
India,Conservative,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,39313.77116154063,321593.5979080879
India,Conservative,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,33697.5181384634,275651.6553497896
India,Conservative,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,617.7878325384955,5053.6136814128095
